"","CLIENT_HASH_ID","CARD_HASH_ID","CARD_TYPE_NAME","CREDIT_CARD","CARD_WITH_PERC","CARD_CO_BRAND","CARD_WITH_CASHBACK","STATUS_NAME","DATE_TO_WORK","START_DATE","EXPIRE_DATE","FACT_CLOSE_DATE","SMS_START_DATE","SMS_END_DATE","F1","GENDER","AGE"
"361","006dcd4987e3175715c4205440c17e53","a94dc071e399625650247b375f2992ad","MasterCard",0,0,0,0,"CLOSED","2012-08-28 00:00:00","2012-08-28 00:00:00","2015-09-02 00:00:00","2015-10-12 00:00:00","2015-06-08 00:00:00","2015-09-03 00:00:00","71e1e42d79887c04b571828357d5f37e","ּ",21
"362","006dcd4987e3175715c4205440c17e53","b51a565bae73814f71fe97816f6c99b1","VISA Classic",0,1,0,0,"OK","2015-10-27 00:00:00","2015-10-16 00:00:00","2018-11-02 00:00:00","(null)","2016-08-16 00:00:00","(null)","71e1e42d79887c04b571828357d5f37e","ּ",21
"363","006dcd4987e3175715c4205440c17e53","e7189be287deb6c414c351c2c4f50f28","VISA Classic",0,0,0,0,"OK","2015-07-20 00:00:00","2015-07-20 00:00:00","2018-08-02 00:00:00","(null)","2016-08-16 00:00:00","(null)","71e1e42d79887c04b571828357d5f37e","ּ",21
"392","0074ffbe5e087f94b4f8d27c985f913e","08fd628cd8cbf9081f8d39cc03e517ff","VISA Classic",0,0,0,0,"OK","2013-10-03 00:00:00","2013-10-03 00:00:00","2016-11-02 00:00:00","(null)","(null)","(null)","385043f3881c79a5959ab4c3145f8aa8","ֶ",20
"453","00860e07df4794a9756d7fbb802f1f24","0c39deb262aabdc5c27a4ad50ff12148","VISA Classic",0,0,0,0,"OK","2013-09-14 00:00:00","2013-09-14 00:00:00","2016-10-02 00:00:00","(null)","(null)","(null)","8215444bab327ec0f170d0ef7296c026","ֶ",21
"483","00937de4d9df754828aa73e12daa9d80","468f5ea45d59eaae52aaff583ff18221","VISA Classic",0,0,0,0,"OK","2014-09-20 00:00:00","2014-09-20 00:00:00","2017-10-02 00:00:00","(null)","(null)","(null)","309e6b5acaa01d889ed303cf65a72dbe","ֶ",17
"505","0095b2f832bd75dbccc3127cbb8dbee9","79b893ace17bc7b6032ae9603a245c7a","MasterCard Electronic",0,0,0,0,"OK","2012-09-22 00:00:00","2012-09-22 00:00:00","2015-10-02 00:00:00","(null)","(null)","(null)","ea77621ec0b8418bfa7b81253ab7d321","ֶ",20
"537","00a347e1c5201fd45fc7f2496663a418","a45721335ff8cc3305c0d8a71144cd41","MasterCard",0,0,0,0,"CLOSED","2013-09-03 00:00:00","2013-09-03 00:00:00","2016-10-02 00:00:00","2016-07-27 00:00:00","2014-09-20 00:00:00","2016-06-17 00:00:00","385043f3881c79a5959ab4c3145f8aa8","ּ",21
"538","00a4e53d7c6e174181a7cb315ff94a85","35f06b1ba0ee851e955ebd85400fb48b","MasterCard",0,0,0,0,"OK","2014-08-30 00:00:00","2014-08-30 00:00:00","2017-09-02 00:00:00","(null)","(null)","(null)","8215444bab327ec0f170d0ef7296c026","ֶ",22
"539","00a4e53d7c6e174181a7cb315ff94a85","525588b1be7768714e8a2d066e853261","VISA Classic",0,0,0,0,"OK","2011-09-13 00:00:00","2011-09-13 00:00:00","2014-10-02 00:00:00","(null)","2014-08-27 00:00:00","(null)","8215444bab327ec0f170d0ef7296c026","ֶ",22
"611","00b4bb6724de137c72e2d9d97612c5bc","550582b70eca249a386e63e2a02a5eac","VISA Classic",0,0,0,0,"OK","2013-06-22 00:00:00","2013-06-22 00:00:00","2016-07-02 00:00:00","(null)","2013-10-03 00:00:00","2013-12-22 00:00:00","385043f3881c79a5959ab4c3145f8aa8","ֶ",24
"612","00b4bb6724de137c72e2d9d97612c5bc","51e39e83d588c2d5c372d92850123ed5","VISA Classic",0,0,0,0,"OK","2014-01-17 00:00:00","2013-12-31 00:00:00","2017-01-02 00:00:00","(null)","2015-09-16 00:00:00","(null)","385043f3881c79a5959ab4c3145f8aa8","ֶ",24
"613","00b4bb6724de137c72e2d9d97612c5bc","e7674cd44ead37f7d77a111de2b3cdb4","VISA Classic",0,0,0,0,"OK","2014-01-01 00:00:00","2013-12-24 00:00:00","2017-01-02 00:00:00","(null)","(null)","(null)","385043f3881c79a5959ab4c3145f8aa8","ֶ",24
"629","00b724aee5643e673dbff18dc9a73642","bdcf0eb033e57c156854299349877ebe","VISA Classic",0,0,0,0,"OK","2015-11-13 00:00:00","2015-10-22 00:00:00","2016-11-02 00:00:00","(null)","2015-12-30 00:00:00","2016-02-12 00:00:00","0e521f30657448f205ecf7a46e4105c0","ּ",19
"630","00b724aee5643e673dbff18dc9a73642","c81af664ad141bc3f24470959fe86484","VISA Classic",0,0,0,0,"CLOSED","2013-10-09 00:00:00","2013-10-09 00:00:00","2016-11-02 00:00:00","2015-12-23 00:00:00","(null)","(null)","0e521f30657448f205ecf7a46e4105c0","ּ",19
"632","00b85576e16b23828b6e5e07c0b8c411","6c3d02afcaf40f3a6d3bcc7834334876","MasterCard",0,0,0,0,"OK","2014-10-10 00:00:00","2014-10-10 00:00:00","2017-11-02 00:00:00","(null)","2016-06-01 00:00:00","(null)","3c423cf4f2bdd61e4dc739b26d945709","ֶ",22
"633","00b85576e16b23828b6e5e07c0b8c411","1ac49e1cb717034d837bfd408a567a14","MasterCard",0,0,0,0,"CLOSED","2011-11-02 00:00:00","2011-11-02 00:00:00","2014-11-02 00:00:00","2014-12-13 00:00:00","(null)","(null)","3c423cf4f2bdd61e4dc739b26d945709","ֶ",22
"652","00c54d7a766feb2efd0d0f6ed9bfe348","5ad32fd60b2f1e08ca7cde369f3e1da4","VISA Classic",0,0,0,0,"OK","2013-09-24 00:00:00","2013-09-24 00:00:00","2016-10-02 00:00:00","(null)","2016-08-20 00:00:00","(null)","7d33c54b3363042d090cb011b215279c","ּ",19
"672","00cabaa4f461d76aa4184d30baef77a3","1c95e81536a27422a9b14572c55da60b","MasterCard Electronic",0,0,0,0,"OK","2011-08-18 00:00:00","2011-08-18 00:00:00","2016-09-02 00:00:00","(null)","(null)","(null)","b871449af47f30db11ef29b52e39819d","ּ",20
"673","00cabaa4f461d76aa4184d30baef77a3","d65d67b7c16f1bed8ef2e89d10d35b35","VISA Classic",0,0,0,0,"OK","2012-09-21 00:00:00","2012-09-21 00:00:00","2015-10-02 00:00:00","(null)","(null)","(null)","b871449af47f30db11ef29b52e39819d","ּ",20
"674","00cabaa4f461d76aa4184d30baef77a3","83d8ceb182f2e6d92b4ad20a5f490ca5","VISA Classic",0,0,0,0,"OK","2015-09-21 00:00:00","2015-09-21 00:00:00","2018-10-02 00:00:00","(null)","2016-07-19 00:00:00","2016-08-04 00:00:00","b871449af47f30db11ef29b52e39819d","ּ",20
"721","00d302d426d98b65869636a884688499","82f46b4d8974df80a4e5aa9b132e7e90","VISA Classic",0,0,0,0,"OK","2014-11-07 00:00:00","2014-10-04 00:00:00","2017-11-02 00:00:00","(null)","(null)","(null)","b871449af47f30db11ef29b52e39819d","ּ",22
"722","00d302d426d98b65869636a884688499","faa1312d518ae22b55b94fd808e17f29","MasterCard Electronic",0,0,0,0,"CLOSED","2011-09-13 00:00:00","2014-11-07 00:00:00","2017-12-02 00:00:00","2015-06-08 00:00:00","(null)","(null)","b871449af47f30db11ef29b52e39819d","ּ",22
"723","00d302d426d98b65869636a884688499","0d13fdd05bda4cc11bc407490a72062c","MasterCard Electronic",0,0,0,0,"OK","2015-04-28 00:00:00","2015-03-27 00:00:00","2017-12-02 00:00:00","(null)","2016-07-19 00:00:00","2016-08-16 00:00:00","b871449af47f30db11ef29b52e39819d","ּ",22
"743","00d54273e6bbfbf6fe042f11b28882d2","bc76f66b6e05cc067bab571b973b4ea6","VISA Classic",0,0,0,0,"OK","2012-11-20 00:00:00","2012-11-20 00:00:00","2015-12-02 00:00:00","(null)","2014-03-26 00:00:00","2014-04-29 00:00:00","8215444bab327ec0f170d0ef7296c026","ֶ",23
"769","00db6e5492ff017f24899bbfeb5e5a81","ef4e1c27c26c3026d3006d62c47ef7b0","VISA Classic",0,0,0,0,"OK","2014-03-05 00:00:00","2014-03-05 00:00:00","2017-04-02 00:00:00","(null)","2016-03-25 00:00:00","(null)","309e6b5acaa01d889ed303cf65a72dbe","ּ",23
"793","00e7de694a2c9f8ac36505036e6f5780","e5b5ae9694853a9a38b3a3788e0b5182","MasterCard",0,0,0,0,"CLOSED","2014-08-16 00:00:00","2014-08-16 00:00:00","2017-09-02 00:00:00","2016-02-04 00:00:00","(null)","(null)","309e6b5acaa01d889ed303cf65a72dbe","ּ",24
"794","00e7de694a2c9f8ac36505036e6f5780","14a04f676a0d2c4446a4a0b5263c87e4","VISA Classic",0,0,0,0,"OK","2016-04-30 00:00:00","2016-04-15 00:00:00","2019-05-02 00:00:00","(null)","2016-06-22 00:00:00","(null)","309e6b5acaa01d889ed303cf65a72dbe","ּ",24
"795","00e7de694a2c9f8ac36505036e6f5780","a2caaa7a33a301cecda81541aba19b5a","VISA Classic",0,0,0,0,"CLOSED","2015-08-13 00:00:00","2015-07-02 00:00:00","2018-07-02 00:00:00","2015-09-22 00:00:00","(null)","(null)","309e6b5acaa01d889ed303cf65a72dbe","ּ",24
"796","00e7de694a2c9f8ac36505036e6f5780","167536b821b49189005fddea36efab3a","MasterCard",0,0,0,0,"CLOSED","2015-11-17 00:00:00","2015-08-13 00:00:00","2018-09-02 00:00:00","2016-08-25 00:00:00","2016-02-18 00:00:00","2016-03-24 00:00:00","309e6b5acaa01d889ed303cf65a72dbe","ּ",24
"835","00f43a16e17e3d832f0d43b5c8d13316","1c9eea048c04dea2bfe4217dbfa4b0e0","VISA Classic",0,0,0,0,"OK","2015-10-14 00:00:00","2015-10-14 00:00:00","2018-11-02 00:00:00","(null)","(null)","(null)","309e6b5acaa01d889ed303cf65a72dbe","ֶ",21
"836","00f43a16e17e3d832f0d43b5c8d13316","fbdcc0fe455791a315597418e425de0f","MasterCard Electronic",0,0,0,0,"OK","2012-10-27 00:00:00","2012-10-27 00:00:00","2015-11-02 00:00:00","(null)","2015-10-16 00:00:00","2015-11-03 00:00:00","309e6b5acaa01d889ed303cf65a72dbe","ֶ",21
"837","00f45a127c908e2ca69ee0f271dfc24e","94e35b4deb55dc833ac911db64495c60","VISA Classic",0,0,0,0,"OK","2011-09-13 00:00:00","2011-09-13 00:00:00","2014-10-02 00:00:00","(null)","2014-10-01 00:00:00","2014-10-03 00:00:00","b871449af47f30db11ef29b52e39819d","ּ",21
"838","00f45a127c908e2ca69ee0f271dfc24e","4b9abd3953857a745214dd6b2916e6ce","MasterCard",0,0,0,0,"OK","2014-08-30 00:00:00","2014-08-30 00:00:00","2017-09-02 00:00:00","(null)","(null)","(null)","b871449af47f30db11ef29b52e39819d","ּ",21
"864","00fa3c470f57d84e6de75a3e386a83be","f5628a456ee428f83b728f3c7bd20b76","VISA Classic",0,0,0,0,"CLOSED","2014-09-12 00:00:00","2014-09-12 00:00:00","2017-10-02 00:00:00","2014-12-23 00:00:00","(null)","(null)","97fa64500457edb6fe17b0acdaf218b2","ּ",21
"865","00fa3c470f57d84e6de75a3e386a83be","890a077bbeabd08654384ebb41c6f897","VISA Classic",0,0,0,0,"CLOSED","2011-09-26 00:00:00","2011-09-26 00:00:00","2014-10-02 00:00:00","2014-12-23 00:00:00","(null)","(null)","97fa64500457edb6fe17b0acdaf218b2","ּ",21
"866","00fa3c470f57d84e6de75a3e386a83be","6b49526579fca6447ce278ab530af542","VISA Classic",0,0,0,0,"OK","2014-12-23 00:00:00","2014-11-13 00:00:00","2017-12-02 00:00:00","(null)","2015-06-20 00:00:00","(null)","97fa64500457edb6fe17b0acdaf218b2","ּ",21
"892","01038a8bedb29ce25ff6df967d3741dc","9364f89093639800938ba6dcc4fa440e","VISA Classic",0,0,0,0,"OK","2014-09-05 00:00:00","2014-09-05 00:00:00","2017-10-02 00:00:00","(null)","2016-06-25 00:00:00","(null)","385043f3881c79a5959ab4c3145f8aa8","ֶ",19
"901","010a9986cdf9112edc37914f9bc8a532","ba3880414dac3e8afec8b50561cd6171","VISA Classic",0,0,0,0,"CLOSED","2013-02-12 00:00:00","2013-02-12 00:00:00","2016-03-02 00:00:00","2016-03-22 00:00:00","2015-07-07 00:00:00","2016-02-09 00:00:00","8df3acb67e47faaeb753cc9a4c6ced3e","ֶ",23
"902","010a9986cdf9112edc37914f9bc8a532","a36c0ee3387d17b2385af7d67d66c294","VISA Classic",0,0,0,0,"OK","2016-02-09 00:00:00","2016-01-29 00:00:00","2019-02-02 00:00:00","(null)","2016-02-09 00:00:00","(null)","8df3acb67e47faaeb753cc9a4c6ced3e","ֶ",23
"903","010a9986cdf9112edc37914f9bc8a532","2a92026e77ad08b59dc8916e87b8b73d","MasterCard Electronic",0,0,0,0,"CLOSED","(null)","2008-09-18 00:00:00","2011-10-02 00:00:00","2012-12-04 00:00:00","(null)","(null)","8df3acb67e47faaeb753cc9a4c6ced3e","ֶ",23
"1019","012adfc82f519dfd13c3f53c99ed6229","c7fee2832832c62e0052f45e5ce7069d","VISA Classic",0,0,0,0,"OK","2015-05-25 00:00:00","2015-04-21 00:00:00","2018-05-02 00:00:00","(null)","(null)","(null)","fe413a3ae1fa1e6e1b7508863bf7ad0d","ֶ",21
"1020","012adfc82f519dfd13c3f53c99ed6229","2304f4389e66c519e128523a6548ae54","VISA Classic",0,0,0,0,"CLOSED","2015-04-27 00:00:00","2015-03-30 00:00:00","2018-05-02 00:00:00","2015-07-04 00:00:00","(null)","(null)","fe413a3ae1fa1e6e1b7508863bf7ad0d","ֶ",21
"1021","012adfc82f519dfd13c3f53c99ed6229","96c54495a75f08a3e493b50010cb04d1","VISA Classic",0,0,0,0,"CLOSED","2012-09-04 00:00:00","2012-09-04 00:00:00","2015-10-02 00:00:00","2015-03-02 00:00:00","2014-09-26 00:00:00","2015-01-15 00:00:00","fe413a3ae1fa1e6e1b7508863bf7ad0d","ֶ",21
"1022","012adfc82f519dfd13c3f53c99ed6229","07289af61654479e54633995042ce409","VISA Classic",0,0,0,0,"OK","2015-01-22 00:00:00","2015-01-15 00:00:00","2018-02-02 00:00:00","(null)","2015-11-26 00:00:00","(null)","fe413a3ae1fa1e6e1b7508863bf7ad0d","ֶ",21
"1032","012f31e15c6d1d2516a9e45b60df60fa","1c91a9b5e6299711aa350f1b7729a3e5","VISA Classic",0,0,0,0,"OK","2014-12-06 00:00:00","2014-12-06 00:00:00","2018-01-02 00:00:00","(null)","2016-05-04 00:00:00","(null)","94a7532568244c10541472dffb66f1f1","ֶ",19
"1058","0135c605bfea1ee499da6c4b871f1d65","e9f0e69f64f7c050cba2a9bd70566793","MasterCard Electronic",0,0,0,0,"OK","2011-09-27 00:00:00","2014-09-10 00:00:00","2017-10-02 00:00:00","(null)","2011-10-31 00:00:00","2012-04-04 00:00:00","71e1e42d79887c04b571828357d5f37e","ֶ",21
"1067","013c6ec89435bb2debb2367b77a6e8bc","3dc9a469a45670f100c889a0f44b04bd","VISA Classic",0,0,0,0,"OK","2013-10-02 00:00:00","2013-10-02 00:00:00","2016-10-02 00:00:00","(null)","2016-03-26 00:00:00","2016-04-05 00:00:00","3c423cf4f2bdd61e4dc739b26d945709","ּ",18
"1095","01450d2fe72e50e1f1e1c6a471f2d879","dcf53a57825d3bf54180e72b61bd9009","VISA Classic",0,0,0,0,"OK","2014-08-15 00:00:00","2014-08-15 00:00:00","2017-09-02 00:00:00","(null)","(null)","(null)","8df3acb67e47faaeb753cc9a4c6ced3e","ֶ",23
"1096","01450d2fe72e50e1f1e1c6a471f2d879","9ea9d217093ae932129b57796be785e8","VISA Classic",0,0,0,0,"CLOSED","2011-08-22 00:00:00","2011-08-22 00:00:00","2014-09-02 00:00:00","2014-10-14 00:00:00","(null)","(null)","8df3acb67e47faaeb753cc9a4c6ced3e","ֶ",23
"1112","014a254e9ddae73827da4edf217711a1","b50b2430d0054d96cdde4c3b798330f6","MasterCard Electronic",0,0,0,0,"OK","2014-06-19 00:00:00","2014-06-19 00:00:00","2017-07-02 00:00:00","(null)","(null)","(null)","263c6b32daca30743034adbd1f68a5fc","ֶ",20
"1113","014a254e9ddae73827da4edf217711a1","673cc3ceb363d2529faeada57f14d10d","MasterCard",0,0,0,0,"OK","2014-10-11 00:00:00","2014-10-11 00:00:00","2017-11-02 00:00:00","(null)","(null)","(null)","263c6b32daca30743034adbd1f68a5fc","ֶ",20
"1160","015b6204a98ec4ca0f6f92c46cec8cae","3a1d9b22276f42515e5ced6b13a1d598","VISA Classic",0,0,0,0,"CLOSED","2013-10-10 00:00:00","2013-10-10 00:00:00","2016-11-02 00:00:00","2016-04-20 00:00:00","2015-11-23 00:00:00","2016-03-11 00:00:00","381b0b043094c8cf1fc0e5ecd17a4461","ּ",20
"1178","015d2269493c4957de5aef753708cb0b","1f803e74dec0a969f80c1ca36b6a44c1","VISA Gold",0,0,0,0,"OK","(null)","2016-03-03 00:00:00","2019-04-02 00:00:00","(null)","(null)","(null)","309e6b5acaa01d889ed303cf65a72dbe","ֶ",22
"1179","015d2269493c4957de5aef753708cb0b","4150fce281afad7d99e312b65eb611c0","MasterCard",0,0,0,0,"CLOSED","2014-03-13 00:00:00","2014-03-13 00:00:00","2017-04-02 00:00:00","2016-03-06 00:00:00","2015-12-09 00:00:00","2016-01-25 00:00:00","309e6b5acaa01d889ed303cf65a72dbe","ֶ",22
"1180","015d2269493c4957de5aef753708cb0b","1156efe7422366089b9da52385e141f0","VISA Classic",0,0,0,0,"OK","2014-10-09 00:00:00","2014-07-15 00:00:00","2017-08-02 00:00:00","(null)","2015-12-22 00:00:00","2015-12-22 00:00:00","309e6b5acaa01d889ed303cf65a72dbe","ֶ",22
"1260","01724475e614a9381bc74bbf842738bd","192ca54f75c06a652a923e1268be6ab4","VISA Classic",0,0,0,0,"OK","2013-09-13 00:00:00","2013-09-13 00:00:00","2016-10-02 00:00:00","(null)","2016-04-05 00:00:00","2016-04-12 00:00:00","309e6b5acaa01d889ed303cf65a72dbe","ֶ",18
"1262","0173d4f2780f9c100679a877891644dc","fd11ad3f94135b0ce98d2e2c20c5b609","VISA Classic",0,0,0,0,"OK","2014-08-07 00:00:00","2014-08-07 00:00:00","2017-09-02 00:00:00","(null)","(null)","(null)","3c423cf4f2bdd61e4dc739b26d945709","ֶ",24
"1263","0177874ef1980fb7ac59c33b8f60396f","c6433cc180789497e84701a72519c9af","VISA Classic",0,0,0,0,"OK","2013-09-19 00:00:00","2013-09-19 00:00:00","2016-10-02 00:00:00","(null)","2016-05-28 00:00:00","2016-06-07 00:00:00","385043f3881c79a5959ab4c3145f8aa8","ֶ",21
"1264","0177874ef1980fb7ac59c33b8f60396f","3e6ee0e9b72003e06a02536042dc7c62","VISA Classic",0,0,0,0,"OK","2012-09-21 00:00:00","2012-09-21 00:00:00","2015-10-02 00:00:00","(null)","2013-10-02 00:00:00","(null)","385043f3881c79a5959ab4c3145f8aa8","ֶ",21
"1268","017eded4c147534dbb5218d394f4bc1c","5ca34782ef418cf7f51fb9c2c74548e4","VISA Classic",0,0,0,0,"OK","2013-04-11 00:00:00","2013-04-11 00:00:00","2016-05-02 00:00:00","(null)","(null)","(null)","96ef29bcab993c1a6eff79d066cfe894","ֶ",21
"1283","01847fe8c8ca8e8f8c2b6a1746dadf7d","1fa6f291503f0c744b4f550410281d70","VISA Classic",0,0,0,0,"OK","2016-05-24 00:00:00","2016-03-29 00:00:00","2017-10-02 00:00:00","(null)","2016-06-24 00:00:00","(null)","71e1e42d79887c04b571828357d5f37e","ֶ",22
"1284","01847fe8c8ca8e8f8c2b6a1746dadf7d","94e0adf96d35ed7d509f23fcdf16cbea","VISA Classic",0,0,0,0,"CLOSED","2014-09-30 00:00:00","2014-09-30 00:00:00","2017-10-02 00:00:00","2016-05-24 00:00:00","2015-12-31 00:00:00","2016-03-29 00:00:00","71e1e42d79887c04b571828357d5f37e","ֶ",22
"1285","01847fe8c8ca8e8f8c2b6a1746dadf7d","b25ac573efbf1702efb426d0b1fa1bf7","VISA Classic",0,0,0,0,"CLOSED","2016-03-29 00:00:00","2016-03-09 00:00:00","2019-04-02 00:00:00","2016-07-03 00:00:00","(null)","(null)","71e1e42d79887c04b571828357d5f37e","ֶ",22
"1332","018e793202b4b930628630f95bc96160","e0193dc9b45489191599c1a111d13f05","VISA Classic",0,0,0,0,"CLOSED","2013-09-11 00:00:00","2013-09-11 00:00:00","2016-10-02 00:00:00","2014-12-10 00:00:00","(null)","(null)","309e6b5acaa01d889ed303cf65a72dbe","ֶ",21
"1333","018e793202b4b930628630f95bc96160","f6727ce88dc65aeade089e164c355738","VISA Classic",0,0,0,0,"OK","2014-10-31 00:00:00","2014-10-22 00:00:00","2016-10-02 00:00:00","(null)","2016-05-24 00:00:00","2016-06-07 00:00:00","309e6b5acaa01d889ed303cf65a72dbe","ֶ",21
"1334","018e793202b4b930628630f95bc96160","a97801e2bfc8eb35d74419a2b2919eaf","MasterCard Electronic",0,0,0,0,"CLOSED","2010-09-22 00:00:00","2010-09-22 00:00:00","2013-10-02 00:00:00","2013-11-12 00:00:00","(null)","(null)","309e6b5acaa01d889ed303cf65a72dbe","ֶ",21
"1335","018f184c878f5cb600d2214a00b40fe9","6f72b6f443d4c266fd3453bc6795bb55","VISA Classic",0,0,0,0,"OK","2014-09-19 00:00:00","2014-09-19 00:00:00","2017-10-02 00:00:00","(null)","2016-07-12 00:00:00","(null)","8df3acb67e47faaeb753cc9a4c6ced3e","ּ",18
