"","CLIENT_HASH_ID","CONTRACT_HASH_ID","TERM","CONTRACT_SUM","CURRENT_SUM","CURRENT_INTEREST_RATE","OPEN_DATE","PLAN_CLOSE_DATE","FACT_CLOSE_DATE","PRODUCT","CONTRACT_TYPE","CURRENT_PRINCIPAL_SUM","F1","GENDER","AGE"
"807","00d302d426d98b65869636a884688499","f239d1510376e0a1760539075bb3df02","(null)","0",0,"0","2011-09-13 00:00:00","(null)","(null)","Текущий счёт","D","(null)","b871449af47f30db11ef29b52e39819d","М",22
"826","00d54273e6bbfbf6fe042f11b28882d2","e467ec4dd49ec56ec92f6c1043b57379","(null)","0",0,"0","2012-11-20 00:00:00","(null)","(null)","Текущий счёт","D","(null)","8215444bab327ec0f170d0ef7296c026","Ж",23
"854","00db6e5492ff017f24899bbfeb5e5a81","219b71ff6554ecc1574946f13b6dd1ab","(null)","0",29000,"0","2014-03-05 00:00:00","(null)","(null)","Текущий счёт","D","(null)","309e6b5acaa01d889ed303cf65a72dbe","М",23
"887","00e7de694a2c9f8ac36505036e6f5780","3c37f1a0ba16254b0d062b8418046d45","(null)","(null)",0,"18","2015-05-25 00:00:00","(null)","(null)","Овердрафт","C","0","309e6b5acaa01d889ed303cf65a72dbe","М",24
"888","00e7de694a2c9f8ac36505036e6f5780","6f089301edfc5c75c0cbb4b4753f4d7c","(null)","0",0,"0","2014-08-16 00:00:00","(null)","(null)","Текущий счёт","D","(null)","309e6b5acaa01d889ed303cf65a72dbe","М",24
"889","00e7de694a2c9f8ac36505036e6f5780","f3d346d9a99a8928854ad7fbc82e9a44","(null)","0",0,"0","2015-08-13 00:00:00","(null)","2015-09-22 00:00:00","Текущий счёт","D","(null)","309e6b5acaa01d889ed303cf65a72dbe","М",24
"916","00f43a16e17e3d832f0d43b5c8d13316","5be8c61c9b2843bfdc6d5510876d1f3c","(null)","0",5000,"0","2012-10-27 00:00:00","(null)","(null)","Текущий счёт","D","(null)","309e6b5acaa01d889ed303cf65a72dbe","Ж",21
"917","00f45a127c908e2ca69ee0f271dfc24e","95d7d7238ef577bb275cb501ad96e245","(null)","500",500,"0","2011-09-13 00:00:00","(null)","(null)","Текущий счёт","D","(null)","b871449af47f30db11ef29b52e39819d","М",21
"948","00fa3c470f57d84e6de75a3e386a83be","50704f800b5ba99c10f4b8d4f41cab86","(null)","0",0,"0","2011-09-26 00:00:00","(null)","(null)","Текущий счёт","D","(null)","97fa64500457edb6fe17b0acdaf218b2","М",21
"985","01038a8bedb29ce25ff6df967d3741dc","3fdf47a2a9364be57dc599b57259c0e3","(null)","0",100,"0","2014-09-05 00:00:00","(null)","(null)","Текущий счёт","D","(null)","385043f3881c79a5959ab4c3145f8aa8","Ж",19
"994","010a9986cdf9112edc37914f9bc8a532","b511a4922f520748c4b3a93e2d0760ea","(null)","0",0,"0","2008-09-18 00:00:00","(null)","2012-12-04 00:00:00","Текущий счёт","D","(null)","8df3acb67e47faaeb753cc9a4c6ced3e","Ж",23
"995","010a9986cdf9112edc37914f9bc8a532","5ecac2bcfb57a5ca4aeaf5ec90c5f396","(null)","0",100,"0","2013-02-12 00:00:00","(null)","(null)","Текущий счёт","D","(null)","8df3acb67e47faaeb753cc9a4c6ced3e","Ж",23
"1115","012adfc82f519dfd13c3f53c99ed6229","1390075ac97675e857c3e4b15fdbbfc3","(null)","0",0,"0","2015-04-27 00:00:00","(null)","2015-07-04 00:00:00","Текущий счёт","D","(null)","fe413a3ae1fa1e6e1b7508863bf7ad0d","Ж",21
"1116","012adfc82f519dfd13c3f53c99ed6229","a07c1bde56f2fa43cb3d0901d8d38d80","(null)","0",0,"0","2012-09-04 00:00:00","(null)","(null)","Текущий счёт","D","(null)","fe413a3ae1fa1e6e1b7508863bf7ad0d","Ж",21
"1117","012adfc82f519dfd13c3f53c99ed6229","5ccf938162f53fdb7494ba5591ccfc12","(null)","0",0,"0","2015-05-25 00:00:00","(null)","(null)","Текущий счёт","D","(null)","fe413a3ae1fa1e6e1b7508863bf7ad0d","Ж",21
"1118","012adfc82f519dfd13c3f53c99ed6229","aaa8f0d3fa1951bc86f4536a88e2469b","(null)","(null)",0,"18","2015-02-27 00:00:00","(null)","(null)","Овердрафт","C","0","fe413a3ae1fa1e6e1b7508863bf7ad0d","Ж",21
"1130","012f31e15c6d1d2516a9e45b60df60fa","c0dee519665365631449faddd194fa3f","(null)","0",0,"0","2014-12-06 00:00:00","(null)","(null)","Текущий счёт","D","(null)","94a7532568244c10541472dffb66f1f1","Ж",19
"1165","0135c605bfea1ee499da6c4b871f1d65","55b473ee60abe6c667da66c378a4d421","(null)","300",0,"0","2011-09-27 00:00:00","(null)","(null)","Текущий счёт","D","(null)","71e1e42d79887c04b571828357d5f37e","Ж",21
"1166","0135c605bfea1ee499da6c4b871f1d65","17d6af2123367557d1ff8734b7dff805","(null)","(null)",0,"18","2015-09-14 00:00:00","(null)","(null)","Овердрафт","C","0","71e1e42d79887c04b571828357d5f37e","Ж",21
"1176","013c6ec89435bb2debb2367b77a6e8bc","c611894dbfdb11013e4b1346e25524aa","(null)","0",0,"0","2013-10-02 00:00:00","(null)","(null)","Текущий счёт","D","(null)","3c423cf4f2bdd61e4dc739b26d945709","М",18
"1209","01450d2fe72e50e1f1e1c6a471f2d879","66e288a09a306761822f022b24467078","(null)","0",0,"0","2011-08-22 00:00:00","(null)","(null)","Текущий счёт","D","(null)","8df3acb67e47faaeb753cc9a4c6ced3e","Ж",23
"1226","014a254e9ddae73827da4edf217711a1","c323c0a5ab8ace6444e4960222af0d4b","(null)","0",0,"0","2014-06-19 00:00:00","(null)","(null)","Текущий счёт","D","(null)","263c6b32daca30743034adbd1f68a5fc","Ж",20
"1227","014a254e9ddae73827da4edf217711a1","1a8a6b3233b0cb88b261ecc57f9b3c1d","(null)","0",0,"0","2014-10-11 00:00:00","(null)","(null)","Текущий счёт","D","(null)","263c6b32daca30743034adbd1f68a5fc","Ж",20
"1295","015b6204a98ec4ca0f6f92c46cec8cae","646f39f4976299c3bb2ac18d3f5b3215","(null)","0",0,"0","2013-10-10 00:00:00","(null)","(null)","Текущий счёт","D","(null)","381b0b043094c8cf1fc0e5ecd17a4461","М",20
"1296","015b6204a98ec4ca0f6f92c46cec8cae","f2e6c05f9475450cf69720157b4f5e7d","(null)","(null)",0,"18","2016-01-01 00:00:00","(null)","(null)","Овердрафт","C","0","381b0b043094c8cf1fc0e5ecd17a4461","М",20
"1327","015d2269493c4957de5aef753708cb0b","2528d7e61aed5f4f61d64058aa232529","(null)","0",0,"0","2014-10-09 00:00:00","(null)","(null)","Текущий счёт","D","(null)","309e6b5acaa01d889ed303cf65a72dbe","Ж",22
"1328","015d2269493c4957de5aef753708cb0b","5cee922eb7335a234e700c85348d9366","(null)","0",0,"0","2014-03-13 00:00:00","(null)","(null)","Текущий счёт","D","(null)","309e6b5acaa01d889ed303cf65a72dbe","Ж",22
"1427","01724475e614a9381bc74bbf842738bd","1e0fb2019561592372627a609d9b81a4","(null)","0",900,"0","2013-09-13 00:00:00","(null)","(null)","Текущий счёт","D","(null)","309e6b5acaa01d889ed303cf65a72dbe","Ж",18
"1429","0173d4f2780f9c100679a877891644dc","f0d12ee9ff90a1cdeb7eafeaf4b65865","(null)","26000",0,"0","2014-08-07 00:00:00","(null)","(null)","Текущий счёт","D","(null)","3c423cf4f2bdd61e4dc739b26d945709","Ж",24
"1430","0177874ef1980fb7ac59c33b8f60396f","b4a86a7f731f17687a6ba6d4e7af07e1","(null)","0",0,"0","2012-09-21 00:00:00","(null)","(null)","Текущий счёт","D","(null)","385043f3881c79a5959ab4c3145f8aa8","Ж",21
"1431","0177874ef1980fb7ac59c33b8f60396f","60f79aa16448f65de2c767f1f9c336a5","(null)","0",5000,"0","2013-09-19 00:00:00","(null)","(null)","Текущий счёт","D","(null)","385043f3881c79a5959ab4c3145f8aa8","Ж",21
"1434","017eded4c147534dbb5218d394f4bc1c","78f256bb8a39428959a24bde261cf5a7","(null)","100",100,"0","2013-04-11 00:00:00","(null)","(null)","Текущий счёт","D","(null)","96ef29bcab993c1a6eff79d066cfe894","Ж",21
"1451","01847fe8c8ca8e8f8c2b6a1746dadf7d","8443179cd73bdeb6871b6dc73f42cc65","(null)","0",0,"0","2016-03-29 00:00:00","(null)","(null)","Текущий счёт","D","(null)","71e1e42d79887c04b571828357d5f37e","Ж",22
"1452","01847fe8c8ca8e8f8c2b6a1746dadf7d","f4b2cfa719182380b4d61a11e6ae389a","(null)","500",3100,"0","2014-09-30 00:00:00","(null)","(null)","Текущий счёт","D","(null)","71e1e42d79887c04b571828357d5f37e","Ж",22
"1528","018e793202b4b930628630f95bc96160","b11987b9f4b5042f092a71499d42303c","(null)","0",0,"0","2010-09-22 00:00:00","(null)","(null)","Текущий счёт","D","(null)","309e6b5acaa01d889ed303cf65a72dbe","Ж",21
"1529","018f184c878f5cb600d2214a00b40fe9","f07628b8c65d580ce0e940efa3eb5196","(null)","0",4000,"0","2014-09-19 00:00:00","(null)","(null)","Текущий счёт","D","(null)","8df3acb67e47faaeb753cc9a4c6ced3e","М",18
"1531","0196fa18f8ddf7465009512f1e58a686","2222af21a96166469a5950697f0fbdd6","(null)","0",32000,"0","2014-09-04 00:00:00","(null)","(null)","Текущий счёт","D","(null)","a1fffaa77ff30165958613b698dc8fd5","Ж",21
"1756","01ca82b58f75b2dd6ca9f9250c8455d2","9e70332888cdff444ca380402f9809b3","(null)","0",0,"0","2011-09-26 00:00:00","(null)","(null)","Текущий счёт","D","(null)","309e6b5acaa01d889ed303cf65a72dbe","Ж",22
"1757","01ca82b58f75b2dd6ca9f9250c8455d2","df3e48ed4fa1198d876d89ebb42ba112","(null)","(null)",0,"18","2016-03-29 00:00:00","(null)","(null)","Овердрафт","C","0","309e6b5acaa01d889ed303cf65a72dbe","Ж",22
"1758","01ca82b58f75b2dd6ca9f9250c8455d2","823744595c9243578b57204974bdcd66","(null)","0",0,"0","2014-12-03 00:00:00","(null)","(null)","Текущий счёт","D","(null)","309e6b5acaa01d889ed303cf65a72dbe","Ж",22
"1791","01dd50d5af64b5e1045d6c144c6e0c3b","7953fe740198baa817ed4d6ea28009d8","(null)","0",0,"0","2011-09-30 00:00:00","(null)","(null)","Текущий счёт","D","(null)","263c6b32daca30743034adbd1f68a5fc","Ж",22
"1792","01dd50d5af64b5e1045d6c144c6e0c3b","af0f2dcd423be24af775c7f863e8ef49","(null)","0",0,"0","2015-03-16 00:00:00","(null)","(null)","Текущий счёт","D","(null)","263c6b32daca30743034adbd1f68a5fc","Ж",22
"1793","01dda0f71be2a6ce988390713306760e","96d6b09861b5f8db3d96a8a40d85ed50","(null)","0",93000,"0","2013-10-09 00:00:00","(null)","(null)","Текущий счёт","D","(null)","97fa64500457edb6fe17b0acdaf218b2","М",22
"1794","01dda0f71be2a6ce988390713306760e","c7a75f04ea5149c0b4681dedbd0b734b","(null)","0",0,"0","2016-07-19 00:00:00","(null)","(null)","Текущий счёт","D","(null)","97fa64500457edb6fe17b0acdaf218b2","М",22
"1811","01e2576cd16e6781554359bc39133be5","376cfa16ecd53e3d1b0ecbfc55d5e351","(null)","0",21000,"0","2014-09-11 00:00:00","(null)","(null)","Текущий счёт","D","(null)","8215444bab327ec0f170d0ef7296c026","Ж",20
"1829","01ee5755ddff9865f3c2f43f14c41b32","f75ef274542ed0790bc588683ec5cb85","(null)","0",100,"0","2013-09-27 00:00:00","(null)","(null)","Текущий счёт","D","(null)","96ef29bcab993c1a6eff79d066cfe894","М",21
"1830","01eea360548fc5169e57f299939b3219","404bfad3d266a35527cc2411494bfa86","(null)","0",0,"0","2013-10-26 00:00:00","(null)","(null)","Текущий счёт","D","(null)","96ef29bcab993c1a6eff79d066cfe894","Ж",21
"1842","01f4215696ee6faa0d7bfac6518a6d1d","94133a3bd10c731f95343687ee0fdaa3","(null)","0",100,"0","2015-09-16 00:00:00","(null)","(null)","Текущий счёт","D","(null)","018d34d8d97fe30fd4347602b8031ec4","Ж",24
"1843","01f4215696ee6faa0d7bfac6518a6d1d","60fd19c0a67f63a1d95df798d7c6931c","(null)","3900",0,"0","2014-06-06 00:00:00","(null)","(null)","Текущий счёт","D","(null)","018d34d8d97fe30fd4347602b8031ec4","Ж",24
"1844","01f4215696ee6faa0d7bfac6518a6d1d","1e4c8203fab85bc45e50aff31f919c92","(null)","0",0,"0","2015-02-04 00:00:00","(null)","2015-10-26 00:00:00","Текущий счёт","D","(null)","018d34d8d97fe30fd4347602b8031ec4","Ж",24
"1863","01f9b015692b9407ba983de71cf32414","2eec00091ef4cae5a91739cf63e151d0","(null)","0",0,"0","2015-10-01 00:00:00","(null)","(null)","Текущий счёт","D","(null)","71e1e42d79887c04b571828357d5f37e","М",19
"1864","01f9b015692b9407ba983de71cf32414","cc924442df751970344db9a4313372f6","(null)","(null)",0,"18","2016-03-05 00:00:00","(null)","(null)","Овердрафт","C","0","71e1e42d79887c04b571828357d5f37e","М",19
"1865","01f9b015692b9407ba983de71cf32414","ae0837b71bc06da5bbacdc9647de2a08","(null)","0",0,"0","2014-10-10 00:00:00","(null)","(null)","Текущий счёт","D","(null)","71e1e42d79887c04b571828357d5f37e","М",19
"1874","02001e6dc05cc15a01175cf40d05d6b7","943943d1e30cd3fcb8aba8ed43e8aef6","(null)","0",0,"0","2011-09-27 00:00:00","(null)","(null)","Текущий счёт","D","(null)","db96a8c8cf0715541dd5d9fd96529ac4","М",20
"1967","02209995b3a3bb82bbf464f60dba2171","fcfae4854383320f8c2cff2fa069b5a7","(null)","0",0,"0","2014-11-22 00:00:00","(null)","(null)","Текущий счёт","D","(null)","309e6b5acaa01d889ed303cf65a72dbe","Ж",20
"2194","0267344953c732dfeef5d7e398745050","dd7f5c6632e0c56c7a381509accaad16","(null)","0",100,"0","2012-09-13 00:00:00","(null)","(null)","Текущий счёт","D","(null)","309e6b5acaa01d889ed303cf65a72dbe","Ж",20
"2282","02828fedfcde61fe98f7bdb0eb796fe7","6585246ab5fb2a1f37f8daf7cf90fed2","(null)","0",100,"0","2014-08-20 00:00:00","(null)","(null)","Текущий счёт","D","(null)","381b0b043094c8cf1fc0e5ecd17a4461","Ж",24
"2381","02b4263fab12c1f9ef0ee40e8da6a803","1bda7ff73d9ed67704a884b0015020a4","(null)","0",26000,"0","2014-10-18 00:00:00","(null)","(null)","Текущий счёт","D","(null)","3c423cf4f2bdd61e4dc739b26d945709","Ж",19
"2420","02bca0addc07e31b1cbefd0067046107","ff14a514f0f94d414f7674fa19e77fff","(null)","0",0,"0","2013-09-13 00:00:00","(null)","(null)","Текущий счёт","D","(null)","309e6b5acaa01d889ed303cf65a72dbe","Ж",20
"2489","02d3cbc1d3a935d20e52ae0b32a6d887","bdac8b555bb15628dc5bb549eb06d936","(null)","0",0,"0","2014-01-24 00:00:00","(null)","(null)","Текущий счёт","D","(null)","309e6b5acaa01d889ed303cf65a72dbe","М",24
"2490","02d3f633002d7df6cfe2f3f45f0df634","5943913a9ba9e591304c7fecc70475ce","(null)","0",100,"0","2010-10-27 00:00:00","(null)","(null)","Текущий счёт","D","(null)","b871449af47f30db11ef29b52e39819d","Ж",24
"2581","02e52a56ec7626a381953d6c06ef5664","c951d8320dc2412cf183102f8fe03ff9","(null)","0",100,"0","2014-09-19 00:00:00","(null)","(null)","Текущий счёт","D","(null)","8215444bab327ec0f170d0ef7296c026","Ж",20
"2594","02edfc91c7824e8ad573701a8a35508b","e17cd13cddbb7fdefad618c735271302","(null)","0",0,"0","2015-04-03 00:00:00","(null)","(null)","Текущий счёт","D","(null)","fe413a3ae1fa1e6e1b7508863bf7ad0d","Ж",23
"2595","02edfc91c7824e8ad573701a8a35508b","a179efd8011a1c29249bebdbaf88b62f","(null)","0",1000,"0","2012-03-06 00:00:00","(null)","(null)","Текущий счёт","D","(null)","fe413a3ae1fa1e6e1b7508863bf7ad0d","Ж",23
"2669","030681f9035c4ff0b363db7f1d024142","d3b75de5832257b279052ada6ce62c3d","(null)","101000",94000,"0","2010-08-28 00:00:00","(null)","(null)","Текущий счёт","D","(null)","018d34d8d97fe30fd4347602b8031ec4","М",24
"2756","03211d3377fa4aa0ff1242c1374989a5","2ed38860d18e2cb441cbc5aec54dda56","(null)","0",3800,"0","2013-09-14 00:00:00","(null)","(null)","Текущий счёт","D","(null)","b871449af47f30db11ef29b52e39819d","Ж",18
"2778","032a626bbf4757e5f3aea28255e3d499","7e97ea73e7fd9668d2bce7b15e4ea974","(null)","0",0,"0","2013-10-26 00:00:00","(null)","(null)","Текущий счёт","D","(null)","385043f3881c79a5959ab4c3145f8aa8","М",23
"2806","03363643c9d0a70bc25964b176456307","e92c949c8382e918c73bd873b3cef34c","(null)","0",800,"0","2014-09-30 00:00:00","(null)","(null)","Текущий счёт","D","(null)","a1fffaa77ff30165958613b698dc8fd5","Ж",18
"2858","0342a8da3dd6df1d148ab35ab2654f58","8dd2670cb469d28d41d3d244cda571bb","(null)","0",0,"0","2015-12-28 00:00:00","(null)","(null)","Текущий счёт","D","(null)","db96a8c8cf0715541dd5d9fd96529ac4","Ж",20
"2859","0342a8da3dd6df1d148ab35ab2654f58","94155d2a2607a60ace97cf809f5128e9","(null)","0",3400,"0","2014-09-20 00:00:00","(null)","(null)","Текущий счёт","D","(null)","db96a8c8cf0715541dd5d9fd96529ac4","Ж",20
"2980","035f64af8c4702bb691fdad6c6dd9bd2","2e17943a01e9525004b0b6abc2d6e87c","(null)","(null)",0,"18","2015-02-26 00:00:00","(null)","(null)","Овердрафт","C","0","309e6b5acaa01d889ed303cf65a72dbe","Ж",24
"2981","035f64af8c4702bb691fdad6c6dd9bd2","6a04c6d41a2843d76fd8dfe501a5e453","(null)","0",0,"0","2012-09-26 00:00:00","(null)","(null)","Текущий счёт","D","(null)","309e6b5acaa01d889ed303cf65a72dbe","Ж",24
"2982","035f64af8c4702bb691fdad6c6dd9bd2","b6b0b60239fcf611ec368bb9e5a35aea","(null)","0",0,"0","2015-02-17 00:00:00","(null)","(null)","Текущий счёт","D","(null)","309e6b5acaa01d889ed303cf65a72dbe","Ж",24
"3001","036c024205ea5faa3429098013b39427","fe78b4f198a8e417523e603fdf4705eb","(null)","0",0,"0","2010-09-18 00:00:00","(null)","2015-11-17 00:00:00","Текущий счёт","D","(null)","97fa64500457edb6fe17b0acdaf218b2","Ж",24
"3070","038339eff1f5b12b22cb62faf607d854","029a1b1e8c15b270ff6eac7a052f59d1","(null)","0",1900,"0","2014-09-27 00:00:00","(null)","(null)","Текущий счёт","D","(null)","db96a8c8cf0715541dd5d9fd96529ac4","Ж",19
"3209","03af48cbcb03af61124bae66464efd6d","91435fb60082b6fa257ec56be537356a","(null)","0",100,"0","2011-09-14 00:00:00","(null)","(null)","Текущий счёт","D","(null)","018d34d8d97fe30fd4347602b8031ec4","Ж",21
"3219","03b5b6073610fba229aa1ea45b7ccc2c","b2cefbf16fbe3fe188b4a9799e52e5c3","(null)","100",274000,"0","2015-05-29 00:00:00","(null)","(null)","Текущий счёт","D","(null)","385043f3881c79a5959ab4c3145f8aa8","Ж",21
"3220","03b5b6073610fba229aa1ea45b7ccc2c","108342d589f17296ebe999919e9df206","(null)","0",22000,"0","2013-09-25 00:00:00","(null)","(null)","Текущий счёт","D","(null)","385043f3881c79a5959ab4c3145f8aa8","Ж",21
"3318","03d14095da85aa7b2cedeb715f11d1af","b0b7e23cc9ae30f2519e6f09fad8f32a","(null)","0",0,"0","2015-09-07 00:00:00","(null)","2015-11-09 00:00:00","Текущий счёт","D","(null)","385043f3881c79a5959ab4c3145f8aa8","Ж",22
